,Species,Superordinal_Group,Group,Order,Family,Genus,Media,Body_Mass,Humerus_Length,Humerus_Prox_Width,Humerus_MidS_Width,Humerus_Distal_Width,Humerus_Height,Radius_Length,Radius_Prox_Width,Radius_MidS_Width,Radius_Distal_Width,Radius_Height,Metacarpus_Length,Metacarpus_Prox_Width,Metacarpus_MidS_Width,Metacarpus_Distal_Width,Metacarpus_Height,Phalanx_Length,Phalanx_Prox_Width,Phalanx_MidS_Width,Phalanx_Distal_Width,Phalanx_Height,Digit_Length,major_clade
Zaglossus_sp,Zaglossus_sp,,Monotremata,Monotremata,Tachyglossidae,Zaglossus,terrestrial,8951.71,76.747,36.968,16.567,55.854,18.23,79.726,16.985,9.806,16.732,4.792,11.002,11.507,11.015,10.709,8.166,6.003,10.881,11.355,11.099,6.223,45.813,others
Tachyglossus_aculeatus,Tachyglossus_aculeatus,,Monotremata,Monotremata,Tachyglossidae,Tachyglossus,terrestrial,4499.97,52.925,26.479,12.103,45.906,10.653,45.35,12.212,5.248,10.631,4.64,6.98,8.055,7.269,7.734,4.853,3.625,8.259,9.01,7.954,6.088,33.147,others
Ornithorhynchus_anatinus,Ornithorhynchus_anatinus,,Monotremata,Monotremata,Ornithorhynchidae,Ornithorhynchus,semi-aquatic,1484.25,34.433,16.747,9.172,26.914,7.768,30.843,6.313,2.876,6.088,2.711,10.87,4.587,3.011,4.316,3.379,8.456,4.876,4.647,5.232,2.712,26.953,others
Solenodon_paradoxus,Solenodon_paradoxus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Solenodontidae,Solenodon,terrestrial,899.99,49.455,11.995,5.768,18.264,7.825,40.301,5.585,5.737,8.676,3.054,16.86,2.761,2.324,3.568,2.566,9.008,3.929,2.787,3.058,2.652,26.265,others
Neurotrichus_gibbsii,Neurotrichus_gibbsii,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Neurotrichus,terrestrial,9.56,6.631,3.821,1.736,3.972,1.569,7.962,1.586,0.894,1.476,0.537,1.524,0.986,0.726,0.887,0.69,1.333,0.993,0.638,0.829,0.652,5.211,others
Galemys_pyrenaicus,Galemys_pyrenaicus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Galemys,semi-aquatic,60.17,12.117,4.532,2.155,6.348,1.971,15.401,1.924,1.131,1.902,0.998,3.57,1.013,0.687,0.805,0.862,3.077,0.964,0.79,0.82,0.817,8.75,others
Desmana_moschata,Desmana_moschata,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Desmana,semi-aquatic,427.64,21.947,9.086,4.802,13.487,4.089,24.67,3.551,2.671,4.347,1.804,6.98,2.12,1.521,1.449,1.54,5.64,1.556,1.321,1.392,1.531,14.667,others
Euroscaptor_micrura,Euroscaptor_micrura,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Euroscaptor,terrestrial,60.46,11.709,9.554,4.031,8.113,3.002,8.724,2.728,1.657,3.77,1.253,2.478,2.174,1.474,1.753,1.334,1.898,1.853,1.694,1.696,0.744,8.915,others
Mogera_wogura,Mogera_wogura,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Mogera,terrestrial,96.88,17.78,13.783,6.066,12.144,4.333,12.067,4.246,2.465,5.617,2.007,3.493,3.061,2.24,2.522,2.212,2.652,2.946,2.519,2.956,1.479,13.007,others
Condylura_cristata,Condylura_cristata,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Condylura,semi-aquatic,48.15,10.815,8.226,2.879,7.671,3.322,12.219,2.815,1.182,3.331,1.103,2.853,2.216,1.3,1.679,1.316,2.791,1.718,1.17,1.439,1.106,10.074,others
